<org.opsli.plugins.email.service.EmailPluginImpl: cn.hutool.extra.mail.MailAccount getMailAccount(org.opsli.plugins.email.conf.EmailConfig)>-><cn.hutool.extra.mail.MailAccount: cn.hutool.extra.mail.MailAccount setAuth(boolean)>
<org.opsli.common.utils.MessUtil: java.lang.String getMes(java.lang.String,java.lang.String,java.lang.String,java.lang.String,java.util.Map)>-><reactor.util.function.Tuple2: java.lang.String toString()>
<org.opsli.OpsliApplication: void initBean_synthetic()>-><springfox.documentation.spring.web.SpringfoxWebMvcConfiguration: springfox.documentation.spring.web.WebMvcObjectMapperConfigurer webMvcObjectMapperConfigurer()>
<org.opsli.common.utils.DefPatternPool: java.util.regex.Pattern get(java.lang.String,int)>-><cn.hutool.core.lang.SimpleCache: java.lang.Object get(java.lang.Object)>
<java.util.EnumMap: boolean containsMapping(java.lang.Object,java.lang.Object)>-><org.opsli.core.options.EmailConfigFactory$EmailConfigOption: boolean equals(java.lang.Object)>
<org.apache.commons.beanutils.converters.CharacterConverter: java.lang.String convertToString(java.lang.Object)>-><org.opsli.modulars.generator.template.wrapper.GenTemplateModel: java.lang.String toString()>
<org.apache.commons.beanutils.converters.NumberConverter: java.lang.String convertToString(java.lang.Object)>-><org.opsli.plugins.email.wrapper.EmailModel: java.lang.String toString()>
<com.google.common.base.Equivalence$Equals: boolean doEquivalent(java.lang.Object,java.lang.Object)>-><org.opsli.core.options.SmsAliYunCaptchaConfigFactory$SmsAliYunCaptchaConfigOption: boolean equals(java.lang.Object)>
<com.alibaba.fastjson.JSONObject: java.lang.String getString(java.lang.String)>-><org.opsli.modulars.generator.template.wrapper.GenTemplateModel: java.lang.String toString()>
<reactor.util.context.Context4: reactor.util.context.Context put(java.lang.Object,java.lang.Object)>-><org.opsli.api.wrapper.system.dict.DictDetailModel: boolean equals(java.lang.Object)>
<org.opsli.core.utils.SystemInfoUtil$MemoryInfo: java.lang.String toString()>-><org.opsli.core.utils.SystemInfoUtil$MemoryInfo: double getUsage()>
<java.util.EnumMap$Values: boolean remove(java.lang.Object)>-><org.opsli.plugins.email.wrapper.EmailModel: boolean equals(java.lang.Object)>
<java.util.EnumMap: boolean equals(java.util.EnumMap)>-><org.opsli.api.wrapper.system.menu.MenuFullModel: boolean equals(java.lang.Object)>
<java.util.concurrent.CopyOnWriteArrayList: boolean eq(java.lang.Object,java.lang.Object)>-><org.opsli.api.wrapper.gentest.carinfo.TestCarModel: boolean equals(java.lang.Object)>
<org.opsli.core.utils.SystemInfoUtil: java.util.List getDiskInfo()>-><cn.hutool.core.util.NumberUtil: double div(float,float,int)>
<org.opsli.core.utils.SearchHisUtil: void putSearchHis(javax.servlet.http.HttpServletRequest,java.util.List)>-><io.netty.util.internal.shaded.org.jctools.queues.BaseMpscLinkedArrayQueue$WeakIterator: java.lang.Object next()>
<java.util.HashMap: java.lang.Object putVal(int,java.lang.Object,java.lang.Object,boolean,boolean)>-><org.opsli.api.wrapper.system.logs.LogsModel: boolean equals(java.lang.Object)>
<org.yaml.snakeyaml.constructor.BaseConstructor: void constructSet2ndStep(org.yaml.snakeyaml.nodes.MappingNode,java.util.Set)>-><org.opsli.api.wrapper.system.menu.MenuFullModel: int hashCode()>
<org.opsli.core.utils.SystemInfoUtil$SysInfo: boolean equals(java.lang.Object)>-><org.opsli.core.utils.SystemInfoUtil$SysInfo: java.lang.String getComputerIp()>
<com.alibaba.fastjson.JSONPath$StringOpSegement: boolean apply(com.alibaba.fastjson.JSONPath,java.lang.Object,java.lang.Object,java.lang.Object)>-><org.opsli.modulars.generator.table.wrapper.GenTableAndColumnModel: java.lang.String toString()>
<java.util.concurrent.ConcurrentHashMap: boolean equals(java.lang.Object)>-><org.opsli.api.wrapper.system.area.SysAreaModel: boolean equals(java.lang.Object)>
<org.apache.commons.beanutils.converters.StringConverter: java.lang.Object convertToType(java.lang.Class,java.lang.Object)>-><org.opsli.modulars.system.menu.entity.SysMenu: java.lang.String toString()>
<org.yaml.snakeyaml.constructor.BaseConstructor: void constructMapping2ndStep(org.yaml.snakeyaml.nodes.MappingNode,java.util.Map)>-><org.opsli.api.wrapper.system.dict.DictModel: int hashCode()>
<org.opsli.core.utils.SearchHisUtil: void putSearchHis(javax.servlet.http.HttpServletRequest,java.util.List)>-><java.util.EnumMap$EnumMapIterator: boolean hasNext()>
<org.opsli.common.utils.MessUtil: java.lang.String getMes(java.lang.String,java.lang.String,java.lang.String,java.lang.String,java.util.Map)>-><com.jfinal.template.expr.ast.StaticField: java.lang.String toString()>
<java.util.AbstractMap$SimpleImmutableEntry: int hashCode()>-><org.opsli.core.log.bean.OperationLog: int hashCode()>
